UUID,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,LAT,LNG,PLACE_TYPE,CITE,Relationship,Date,Location Precision 
d7481624-6fbe-4c6e-820d-bd749c73e3e7,Icilius,char-offset:120790,PERSON,,,,,,"3,44",,450 B.C.,
4b364561-1449-453a-9578-e5b3dd41a4e6,Icilius,char-offset:121003,PERSON,,,,,,"3,44",,450 B.C.,
6a891d0c-a1be-4412-b1af-70e30b11bc95,Icilius,char-offset:122621,PERSON,,,,,,"3,45",,450 B.C.,
8b265773-d5ea-4233-9823-4994692c8d23,Icilius,char-offset:123204,PERSON,,,,,,"3,45",,450 B.C.,
787c2da4-668c-4afa-8d6d-447800143f88,Icilius,char-offset:123668,PERSON,,,,,,"3,45",,450 B.C.,
f40b0d6e-17d4-4d3e-be9a-d514b7a70d32,Icilius,char-offset:124060,PERSON,,,,,,"3,45",,450 B.C.,
3d0ac5ef-e1c5-4965-b07e-c12dc182a7f2,Icilius,char-offset:124113,PERSON,,,,,,"3,45",,450 B.C.,
0eb24703-c4c6-4597-a10a-ea6c9c6aa91e,Icilius,char-offset:129512,PERSON,,,,,,"3,47",,450 B.C.,
dabbf3b2-630d-44d8-bf82-2590454b17e3,Icilius,char-offset:130397,PERSON,,,,,,"3,47",,450 B.C.,
46f7962b-7c43-46f1-b638-ab4eaba61cde,Icilius,char-offset:130656,PERSON,,,,,,"3,48",,450 B.C.,
f5878c4e-96f2-4142-8194-ea8e282a5734,Icilius,char-offset:137710,PERSON,,,,,,"3,50",,450 B.C.,
368dc4ff-d82b-4594-8b47-1e935f9270ca,Icilius,char-offset:137968,PERSON,,,,,,"3,50",,450 B.C.,
d88cf25b-24ea-4100-bdee-51d26279be61,Icilius,char-offset:142479,PERSON,,,,,,"3,52",,450 B.C.,
0afd089d-b299-436a-948c-028f46838af8,Icilius,char-offset:142674,PERSON,,,,,,"3,52",,450 B.C.,
0d3750ae-7529-4a46-9ef4-b1e0b763323b,Jove,char-offset:52893,PERSON,,,,,,"3,17",,460 B.C.,
b1d834af-82da-45d3-b748-8fe383816ecb,Jupiter Optimus Maximus,char-offset:45247,PERSON,,,,,,"3,15",,460 B.C.,
c0898a73-61f6-4599-bcc9-b146c90dd72d,Jupiter Optimus Maximus,char-offset:46097,PERSON,,,,,,"3,15",,460 B.C.,
5084f5ec-644f-4555-853d-da594687c8fe,Jupiter Optimus Maximus,char-offset:53581,PERSON,,,,,,"3,17",,460 B.C.,
fe1282a8-301b-4a6c-96c2-55496870f79a,Jupiter Optimus Maximus,char-offset:54416,PERSON,,,,,,"3,18",,460 B.C.,
