QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,LAT,LNG,PLACE_TYPE,CITATION,RELATIONSHIP (ALLY/ENEMY),DATE,LOCATION PRECISION 
Gabinians,char-offset:145734,PEOPLE,http://pleiades.stoa.org/places/422932,"Gabii|Gabii, Castiglione, Roma|Castiglione Cosentino",41.8871,12.71738,"sanctuary,settlement,temple-2","1,54",,520 B.C.,YES
Gabinians,char-offset:146189,PEOPLE,http://pleiades.stoa.org/places/422932,"Gabii|Gabii, Castiglione, Roma|Castiglione Cosentino",41.8871,12.71738,"sanctuary,settlement,temple-2","1,54",,520 B.C.,YES
Geganii,char-offset:81485,PLACE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,30",,650 B.C.,YES
Greece,char-offset:151976,PLACE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,56",,510 B.C.,YES
Greek,char-offset:15127,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,7",,750 B.C.,YES
Heraclea,char-offset:46343,PLACE,http://pleiades.stoa.org/places/151774,Heraclea,,,unlocated,"1,18",,710 B.C.,NO
Hernici,char-offset:144504,PLACE,http://pleiades.stoa.org/places/422944,Hernici,41.74758569,13.34528397,people,"1,53",,530 B.C.,YES
Horatia,char-offset:71897,PLACE,http://pleiades.stoa.org/places/670733375,tribus Horatia,41.80656858,12.57975783,tribus,"1,26",,670 B.C.,YES
Horatii,char-offset:61164,PEOPLE,http://pleiades.stoa.org/places/670733375,tribus Horatia,41.80656858,12.57975783,tribus,"1,24",,670 B.C.,YES
Horatii,char-offset:61433,PEOPLE,http://pleiades.stoa.org/places/670733375,tribus Horatia,41.80656858,12.57975783,tribus,"1,24",,670 B.C.,YES
Italian,char-offset:109595,PEOPLE,http://sws.geonames.org/3175395,Italy,42.78740074,12.0810743,,"1,40",,580 B.C.,YES
Italy,char-offset:46300,PLACE,http://sws.geonames.org/3175395,Italy,42.78740074,12.0810743,,"1,18",,710 B.C.,YES
Italy,char-offset:4431,PLACE,http://sws.geonames.org/3175395,Italy,42.78740074,12.0810743,,"1,2",,1200 B.C.,YES
Italy,char-offset:17064,PLACE,http://sws.geonames.org/3175395,Italy,42.78740074,12.0810743,,"1,7",,750 B.C.,YES
Janiculum,char-offset:96237,PLACE,http://pleiades.stoa.org/places/430827518,Janiculum,41.88333,12.46667,"hill,fort","1,34",,625 B.C.,YES
Latin,char-offset:74773,PLACE,http://pleiades.stoa.org/places/432900,Latium,41.7909,12.7621,"region,people","1,27",,670 B.C.,YES
Latin,char-offset:6170,PLACE,http://pleiades.stoa.org/places/432900,Latium,41.7909,12.7621,"region,people","1,3",,1200-800 B.C.,YES
Latin,char-offset:92600,PLACE,http://pleiades.stoa.org/places/432900,Latium,41.7909,12.7621,"region,people","1,33",,625 B.C.,YES
Latin,char-offset:121731,PLACE,http://pleiades.stoa.org/places/432900,Latium,41.7909,12.7621,"region,people","1,45",,550 B.C.,YES
Latin,char-offset:121917,PLACE,http://pleiades.stoa.org/places/432900,Latium,41.7909,12.7621,"region,people","1,45",,550 B.C.,YES
Latin,char-offset:134930,PLACE,http://pleiades.stoa.org/places/432900,Latium,41.7909,12.7621,"region,people","1,49",,530 B.C.,YES
Latin,char-offset:135238,PLACE,http://pleiades.stoa.org/places/432900,Latium,41.7909,12.7621,"region,people","1,49",,530 B.C.,YES
Latin,char-offset:135478,PLACE,http://pleiades.stoa.org/places/432900,Latium,41.7909,12.7621,"region,people","1,50",,530 B.C.,YES
Latin,char-offset:136166,PLACE,http://pleiades.stoa.org/places/432900,Latium,41.7909,12.7621,"region,people","1,50",,530 B.C.,YES
Latin,char-offset:138591,PLACE,http://pleiades.stoa.org/places/432900,Latium,41.7909,12.7621,"region,people","1,51",,530 B.C.,YES
Latin,char-offset:141650,PLACE,http://pleiades.stoa.org/places/432900,Latium,41.7909,12.7621,"region,people","1,52",,530 B.C.,YES
Latin,char-offset:142185,PLACE,http://pleiades.stoa.org/places/432900,Latium,41.7909,12.7621,"region,people","1,52",,530 B.C.,YES
Latin,char-offset:13520,PLACE,http://pleiades.stoa.org/places/432900,Latium,41.7909,12.7621,"region,people","1,6",,,YES
Latin State,char-offset:5164,PLACE,http://pleiades.stoa.org/places/432900,Latium,41.7909,12.7621,"region,people","1,3",,1200-800 B.C.,YES
Latins,char-offset:4226,PEOPLE,http://pleiades.stoa.org/places/432900,Latium,41.7909,12.7621,"region,people","1,2",,1200 B.C.,YES
Latins,char-offset:4758,PEOPLE,http://pleiades.stoa.org/places/432900,Latium,41.7909,12.7621,"region,people","1,2",,1200 B.C.,YES
Latins,char-offset:6593,PEOPLE,http://pleiades.stoa.org/places/432900,Latium,41.7909,12.7621,"region,people","1,3",,1200-800 B.C.,YES
Latins,char-offset:87331,PEOPLE,http://pleiades.stoa.org/places/432900,Latium,41.7909,12.7621,"region,people","1,32",,625 B.C.,YES
Latins,char-offset:91373,PEOPLE,http://pleiades.stoa.org/places/432900,Latium,41.7909,12.7621,"region,people","1,32",,625 B.C.,YES
Latins,char-offset:91621,PEOPLE,http://pleiades.stoa.org/places/432900,Latium,41.7909,12.7621,"region,people","1,33",,625 B.C.,YES
Latins,char-offset:92236,PEOPLE,http://pleiades.stoa.org/places/432900,Latium,41.7909,12.7621,"region,people","1,33",,625 B.C.,YES
Latins,char-offset:92849,PEOPLE,http://pleiades.stoa.org/places/432900,Latium,41.7909,12.7621,"region,people","1,33",,625 B.C.,YES
Latins,char-offset:99834,PEOPLE,http://pleiades.stoa.org/places/432900,Latium,41.7909,12.7621,"region,people","1,35",,620 B.C.,YES
Latins,char-offset:122126,PEOPLE,http://pleiades.stoa.org/places/432900,Latium,41.7909,12.7621,"region,people","1,45",,550 B.C.,YES
Latins,char-offset:136450,PEOPLE,http://pleiades.stoa.org/places/432900,Latium,41.7909,12.7621,"region,people","1,50",,530 B.C.,YES
Latins,char-offset:136616,PEOPLE,http://pleiades.stoa.org/places/432900,Latium,41.7909,12.7621,"region,people","1,50",,530 B.C.,YES
Latins,char-offset:136847,PEOPLE,http://pleiades.stoa.org/places/432900,Latium,41.7909,12.7621,"region,people","1,50",,530 B.C.,YES
Latins,char-offset:138116,PEOPLE,http://pleiades.stoa.org/places/432900,Latium,41.7909,12.7621,"region,people","1,51",,530 B.C.,YES
Latins,char-offset:138989,PEOPLE,http://pleiades.stoa.org/places/432900,Latium,41.7909,12.7621,"region,people","1,51",,530 B.C.,YES
Latins,char-offset:140329,PEOPLE,http://pleiades.stoa.org/places/432900,Latium,41.7909,12.7621,"region,people","1,51",,530 B.C.,YES
Latins,char-offset:140660,PEOPLE,http://pleiades.stoa.org/places/432900,Latium,41.7909,12.7621,"region,people","1,52",,530 B.C.,YES
Latins,char-offset:140934,PEOPLE,http://pleiades.stoa.org/places/432900,Latium,41.7909,12.7621,"region,people","1,52",,530 B.C.,YES
Latins,char-offset:141227,PEOPLE,http://pleiades.stoa.org/places/432900,Latium,41.7909,12.7621,"region,people","1,52",,530 B.C.,YES
Latins,char-offset:141512,PEOPLE,http://pleiades.stoa.org/places/432900,Latium,41.7909,12.7621,"region,people","1,52",,530 B.C.,YES
Latins,char-offset:141886,PEOPLE,http://pleiades.stoa.org/places/432900,Latium,41.7909,12.7621,"region,people","1,52",,530 B.C.,YES
Latium,char-offset:144451,PLACE,http://pleiades.stoa.org/places/432900,Latium,41.7909,12.7621,"region,people","1,53",,530 B.C.,YES
Laurentines,char-offset:35436,PEOPLE,,,,,,"1,14",,750 B.C.,NO
Laurentines,char-offset:35631,PEOPLE,,,,,,"1,14",,750 B.C.,NO
Lavinium,char-offset:3005,PLACE,http://pleiades.stoa.org/places/422960,"Tredici Altari|Temple East of Lavinium|Pratica di Mare, Pomezia|Tredici Altari|Lavinium|Lavinium, Pratica di Mare, Pomezia",41.66391,12.48009,"temple-2,urban,port,sanctuary,settlement","1,1",,1200 B.C.,YES
Lavinium,char-offset:35769,PLACE,http://pleiades.stoa.org/places/422960,"Tredici Altari|Temple East of Lavinium|Pratica di Mare, Pomezia|Tredici Altari|Lavinium|Lavinium, Pratica di Mare, Pomezia",41.66391,12.48009,"temple-2,urban,port,sanctuary,settlement","1,14",,750 B.C.,YES
