UUID,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,LAT,LNG,PLACE_TYPE,Cite,Relationship,Date,Location Precision 
2f517432-9725-4542-a675-5a08f560604d,Greeks,char-offset:41886,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,28",,,
4447c2ab-a6ff-4313-8e52-0f0ffe62a68a,Greeks,char-offset:42753,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,29",,,
cf966ff5-0dbf-4e8d-87b7-57d5826558d0,Greeks,char-offset:43171,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,29",,,
b4393b90-af21-4ce4-ac87-2a1b9b99f26b,Greeks,char-offset:45726,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,30",,,
353acd98-3691-439e-82bd-755029d8c640,Greeks,char-offset:46165,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,30",,,
bc0e2fc1-439e-4689-a431-712fe55c10cd,Greeks,char-offset:47208,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,31",,,
d27927bd-d9a8-449f-b7d5-c50766b3053d,Greeks,char-offset:51908,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,33",,,
d2021240-74e4-458c-8dfc-e7ef4368ea4d,Greeks,char-offset:58121,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,35",,,
a83219fe-08d5-4b28-b4ec-b0db1a258335,Greeks,char-offset:62557,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,38",,,
bbf71f5e-1c26-4aef-9827-f3dd1b1c4516,Greeks,char-offset:64744,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,38",,,
9fe2addd-83dd-4951-81af-121827db2225,Greeks,char-offset:67886,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,39",,,
8b9379ae-2a97-4929-8be7-f255939cbf43,Greeks,char-offset:72397,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,41",,,
5d0219ae-13db-40a2-971b-5f35618ab7d0,Greeks,char-offset:73608,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,41",,,
f1b11a92-6c4a-469e-bb7c-69a3612219aa,Greeks,char-offset:75043,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,42",,,
1c4e12b5-48b3-43c2-8f0e-8d7ece84a03a,Greeks,char-offset:75410,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,42",,,
f633e633-9c89-453a-8598-1dabe422d901,Greeks,char-offset:2516,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,46",,,YES
375a4e2d-d68b-4a37-b254-dc41a5bb5d2d,Greeks,char-offset:11193,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,49",,,YES
0b419403-d6f7-4883-99d7-07b84b4418c4,Greeks,char-offset:30858,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,57",,,YES
8c14005b-5fdb-4eab-98d1-2b2e255eb53d,Greeks,char-offset:31513,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,57",,,YES
2f2c6e8f-d71f-4b70-a8ad-ffe00ecc4006,Greeks,char-offset:32807,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,58",,,YES
076e232a-036c-4f3e-af4a-b161c8188dea,Greeks,char-offset:38656,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,6",,,YES
25c527bd-ec47-4521-81f4-2371552245a2,Greeks,char-offset:42215,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,61",,,YES
955955ff-4fb3-43f1-9652-95e543f40d6a,Greeks,char-offset:57835,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,69",,,YES
bb4e5a77-f63a-4846-bef5-6ba332bd1832,Greeks,char-offset:6685,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,74",,,
2b67bfa7-6e1c-44e7-bf93-53430b9590fc,Greeks,char-offset:52779,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,89",,,
17cc2e3e-77c2-4ffc-b6ca-f97c81dd58fb,Greeks,char-offset:52889,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,89",,,
575a5c54-1d29-4b5b-87ea-45116ae7a005,Greeks,char-offset:54068,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,90",,,
917d6a3a-7650-4b68-94ea-7973748f80bf,Haemonia,char-offset:18575,PLACE,http://pleiades.stoa.org/places/494567,Harmonia,,,unlocated,"1,17",,,
6706eaf8-25ff-4138-948e-e3b76b34d8b4,Haemonia,char-offset:18718,PLACE,http://pleiades.stoa.org/places/494567,Harmonia,,,unlocated,"1,17",,,
ddb5c3a0-283a-419b-9d2b-b1c6d908a014,Haemonia,char-offset:38819,PLACE,http://pleiades.stoa.org/places/494567,Harmonia,,,unlocated,"1,6",,,NO
578e4d26-66f1-4331-8360-cf1189a4e6c5,Haliê,char-offset:38559,PERSON,,,,,,"1,27",,,
2066c4e8-a594-48dc-8e73-5a96c28ba67b,Harbour of Venus,char-offset:16852,PLACE,,,,,,"1,51",,,NO
bc43d197-6e9d-4ab0-be25-440711644266,Hector,char-offset:7011,PERSON,,,,,,"1,47",,,
8e22242c-307f-4886-9d8f-3dc37abdc7c5,Hegesippus,char-offset:9885,PERSON,,,,,,"1,49",,,
8d0b7331-b756-45aa-9b05-73c32470e68c,Helenus,char-offset:15076,PERSON,,,,,,"1,51",,,
e353d3bb-066a-4dd9-bc15-d12e65968859,Hellanicus,char-offset:28458,PERSON,,,,,,"1,22",,,
6cabf407-3eed-4433-98d9-b39b04818be5,Hellanicus,char-offset:41466,PERSON,,,,,,"1,28",,,
90c408e6-c839-45ec-8cb0-7fbab1282845,Hellanicus,char-offset:42139,PERSON,,,,,,"1,28",,,
0a81264f-d0fc-40ce-adf9-cf6059feb777,Hellanicus,char-offset:57002,PERSON,,,,,,"1,35",,,
af8ea8c0-e07d-49fb-a3fc-8de9305da360,Hellanicus,char-offset:57903,PERSON,,,,,,"1,35",,,
b3f02296-c5e1-467e-a4ad-855b6e259c04,Hellanicus,char-offset:7746,PERSON,,,,,,"1,48",,,
82ded836-9e6a-4232-a9f5-83f1233203ba,Hellespont,char-offset:44057,PLACE,http://pleiades.stoa.org/places/501325,"Abydos|Abydos, Maltepe",40.19406,26.41122,settlement,"1,29",,,
88f037e7-d0b6-471f-9436-515b2fa1bcc4,Hellespont,char-offset:7374,PLACE,http://pleiades.stoa.org/places/501325,"Abydos|Abydos, Maltepe",40.19406,26.41122,settlement,"1,47",,,YES
60663af7-a1f6-47b0-8a54-f1eec8223383,Heracles,char-offset:14326,PERSON,,,,,,"1,5",,,
e7404337-e809-4fce-8417-260e3c52d15c,Hercules,char-offset:49111,PERSON,,,,,,"1,32",,,
0c0864fb-d6d8-490a-b413-24607e1661ca,Hercules,char-offset:53728,PERSON,,,,,,"1,34",,,
b4afb8bb-784e-434b-a50d-ee20b87e2ebb,Hercules,char-offset:53891,PERSON,,,,,,"1,34",,,
76f47d06-afa7-4b4f-ab2f-2e4eab5d2106,Hercules,char-offset:54402,PERSON,,,,,,"1,34",,,
29bc89c1-7430-4f85-a482-00b340333611,Hercules,char-offset:54554,PERSON,,,,,,"1,34",,,
812d28fd-3d5f-4037-b9f4-e04c5e849229,Hercules,char-offset:55404,PERSON,,,,,,"1,34",,,
e99e2049-354d-4156-b621-d1af404d5e18,Hercules,char-offset:55776,PERSON,,,,,,"1,34",,,
8e7ada3a-d61e-4486-9d59-983a1dc32b32,Hercules,char-offset:57038,PERSON,,,,,,"1,35",,,
f158b72f-ddb7-491e-bd0d-ae92147c4ac8,Hercules,char-offset:57272,PERSON,,,,,,"1,35",,,
b70ecd9f-c4a8-49ca-9d90-1c78c8242f8b,Hercules,char-offset:58002,PERSON,,,,,,"1,35",,,
4fc7e1df-3201-4529-9aff-3b1474c98ceb,Hercules,char-offset:63309,PERSON,,,,,,"1,38",,,
820bedb6-cb97-42e4-bb9d-5f3ceeaa9ef0,Hercules,char-offset:64890,PERSON,,,,,,"1,38",,,
de36515a-7ee6-42b7-99c7-def59e554f09,Hercules,char-offset:65114,PERSON,,,,,,"1,39",,,
986f2b66-8705-4fea-b33a-6becf036fae1,Hercules,char-offset:65692,PERSON,,,,,,"1,39",,,
80f4c240-3987-44c9-8278-365c02072251,Hercules,char-offset:66124,PERSON,,,,,,"1,39",,,
2dd0d066-dd22-46b5-be98-9c76f140dd78,Hercules,char-offset:66585,PERSON,,,,,,"1,39",,,
6c82a1a5-ccf6-40bd-ba46-a8e80de2fbb9,Hercules,char-offset:66848,PERSON,,,,,,"1,39",,,
b4764e02-fc25-4a3d-93f1-ae7eff89c00b,Hercules,char-offset:67299,PERSON,,,,,,"1,39",,,
500b837d-9f4a-4c23-9dcd-601a52bb7bbf,Hercules,char-offset:68024,PERSON,,,,,,"1,40",,,
6f446a5f-f684-4bdd-8a8d-f59ffe7d8fea,Hercules,char-offset:68404,PERSON,,,,,,"1,40",,,
2a7aeb22-9526-4587-a5c7-0f5396c3b381,Hercules,char-offset:68671,PERSON,,,,,,"1,40",,,
614da409-fc41-424e-9365-4d3495104ff6,Hercules,char-offset:68900,PERSON,,,,,,"1,40",,,
828dc3b9-9591-4be2-9a10-1019b146ccf5,Hercules,char-offset:69072,PERSON,,,,,,"1,40",,,
9da1994a-5dc8-4002-9782-469c28fe8079,Hercules,char-offset:69130,PERSON,,,,,,"1,40",,,
9d829315-abee-4e82-9b3a-361d878a64be,Hercules,char-offset:70958,PERSON,,,,,,"1,40",,,
883b6eef-df9b-4a84-b6aa-1073ccf782e5,Hercules,char-offset:71843,PERSON,,,,,,"1,41",,,
7891ad23-70d7-4af4-8f5b-339bfce6efe0,Hercules,char-offset:73821,PERSON,,,,,,"1,41",,,
613d6a06-1df1-4ff4-ba9f-7aded049e2f9,Hercules,char-offset:74210,PERSON,,,,,,"1,42",,,
4a9246c9-33a8-4199-888e-d7e20e0b2083,Hercules,char-offset:74676,PERSON,,,,,,"1,42",,,
eff6f2b4-6589-4ec8-b214-906cb02c0b86,Hercules,char-offset:74799,PERSON,,,,,,"1,42",,,
9999a08f-2d92-44a2-8165-2e9bb9589710,Hercules,char-offset:75202,PERSON,,,,,,"1,42",,,
61bd34d1-7f91-4206-b951-e2da564529c3,Hercules,char-offset:75580,PERSON,,,,,,"1,42",,,
